data,label,CCT_xc_distance,CCT_xc_count1,CCT_xc_count7,CCT_x4_distance,CCT_x4_count1,CCT_x4_count7,r50_xc_distance,r50_xc_count1,r50_xc_count7,r50_xc_xs5,r50_xc_xs3,r50_xc_all3,r50_xc_all5,r50_x4_distance,r50_x4_count1,r50_x4_count7
covid_hosp/train/0/158d5bc5-bafd-47da-a827-dbbd36a15f76.png_000,1,3.2995453793760454e-05,1,7,0.12177680436885929,1,7,8.315980457995753e-05,1,7,5,3,3,5,0.04623442708189063,1,7
covid_hosp/train/0/158d5bc5-bafd-47da-a827-dbbd36a15f76.png_001,0,1.9992773076033334,0,0,0.9640298211706604,0,0,1.9922357094890697,0,0,0,0,0,0,0.2369551739747252,0,0
covid_hosp/train/0/158e77f6-1345-402b-8718-4d5788718509.png_000,1,5.26447548887532e-07,1,7,0.19020260869640393,1,7,0.00040468879547383985,1,5,5,3,3,5,0.041079941107617035,1,7
covid_hosp/train/0/158e77f6-1345-402b-8718-4d5788718509.png_001,0,1.9995219186618354,0,0,0.8754481898307711,0,0,1.9965286166174097,0,2,0,0,0,0,0.2159686305088966,0,0
covid_hosp/train/0/15911a40-9cb6-404c-b601-4e3b2846d7a9.png_000,1,6.362917604663121e-05,1,7,0.2816778443612966,1,7,5.8271429252965135e-06,1,7,5,3,3,5,0.08328840702081486,1,7
covid_hosp/train/0/15911a40-9cb6-404c-b601-4e3b2846d7a9.png_001,0,1.9998267261352711,0,0,1.0982607330179341,0,0,1.9941321939787735,0,0,0,0,0,0,0.2594546002085152,0,0
covid_hosp/train/0/159b6cd1-8a7f-419a-a299-db96e99d8ab4.png_000,1,9.799648247799109e-05,1,7,0.25438931918663066,1,7,3.71759075489253e-05,1,7,5,3,3,5,0.10263013723320058,1,6
covid_hosp/train/0/159b6cd1-8a7f-419a-a299-db96e99d8ab4.png_001,0,1.9998736430929323,0,0,0.845028872739555,0,0,1.994682165723058,0,0,0,0,0,0,0.14246090187784555,0,1
covid_hosp/train/0/15abeeb8-82e8-45fd-a334-adeba39f7903.png_000,1,0.0007692680510774652,1,7,0.20079144558517803,1,7,0.00020659171010473099,1,7,5,3,3,5,0.05243909727662044,1,7
covid_hosp/train/0/15abeeb8-82e8-45fd-a334-adeba39f7903.png_001,0,1.9999564787861444,0,0,0.9364861316220114,0,0,1.9958194763701442,0,0,0,0,0,0,0.22995071593316618,0,0
covid_hosp/train/0/15b7d431-5807-468b-a561-42f63e56b845.png_000,1,1.996001747342623,0,0,0.7101558673244306,0,0,0.033715050037986916,1,3,1,1,0,1,0.12806656074348033,1,3
covid_hosp/train/0/15b7d431-5807-468b-a561-42f63e56b845.png_001,0,0.0017729342678952653,1,7,0.4548170418291724,1,7,1.9315273032037943,0,4,4,2,3,4,0.13449000523226218,0,4
covid_hosp/train/0/15bd1033-0a76-4f21-a6e2-ce3dc0ec41e0.png_000,1,0.0050005404377292395,1,7,0.33164608529864015,1,7,0.013103216726681799,0,2,0,0,1,1,0.0904425187134501,1,7
covid_hosp/train/0/15bd1033-0a76-4f21-a6e2-ce3dc0ec41e0.png_001,0,1.9915691348160993,0,0,0.7473725271745777,0,0,1.9627343484009754,1,5,5,3,2,4,0.19611342624578,0,0
covid_hosp/train/0/15bed4e1-1b6d-4224-bfe8-b044725ccd77.png_000,1,3.314669632037415e-05,1,7,0.1496396944735695,1,7,1.408913393818878e-05,1,6,5,3,3,5,0.05331275185797468,1,7
covid_hosp/train/0/15bed4e1-1b6d-4224-bfe8-b044725ccd77.png_001,0,1.9992766005404286,0,0,0.8912728376319647,0,0,1.9943353403722748,0,1,0,0,0,0,0.25868831824033356,0,0
covid_hosp/train/0/15c0c631-f3dd-43e8-935c-a360155eb669.png_000,1,0.0005075389392991125,1,6,0.18613504047736584,1,7,0.0001716389989272482,1,6,5,3,3,5,0.05507876519220345,1,7
covid_hosp/train/0/15c0c631-f3dd-43e8-935c-a360155eb669.png_001,0,1.9999980701169346,0,1,1.0393661082488859,0,0,1.9915195882131873,0,1,0,0,0,0,0.2621280757234459,0,0
covid_hosp/train/0/15c181df-7b7c-47d3-ac5a-130b6047c1a0.png_000,1,0.0008479883790196707,1,7,0.17725197846666652,1,7,1.7646869636678275e-05,1,6,5,3,3,5,0.05233441190691557,1,7
covid_hosp/train/0/15c181df-7b7c-47d3-ac5a-130b6047c1a0.png_001,0,1.999936289583136,0,0,0.9729468866044546,0,0,1.9930767938744283,0,1,0,0,0,0,0.22792059847838952,0,0
covid_hosp/train/0/15c2558a-5399-43f8-83c0-a36e634925bf.png_000,1,3.390069355235781e-05,1,7,0.20609114894972858,1,7,2.0349852380197042e-05,1,7,5,3,3,5,0.08034210128815378,1,7
covid_hosp/train/0/15c2558a-5399-43f8-83c0-a36e634925bf.png_001,0,1.9997653702377312,0,0,0.866584074420345,0,0,1.9930251560539027,0,0,0,0,0,0,0.2059618532945534,0,0
covid_hosp/train/0/15c262ab-4ec6-4b19-8172-3aaf662e05c3.png_000,1,7.840311099238662e-07,1,7,0.12311903983368389,1,7,7.505117585182575e-07,1,7,5,3,3,5,0.05490226981991364,1,7
covid_hosp/train/0/15c262ab-4ec6-4b19-8172-3aaf662e05c3.png_001,0,1.9995897662700806,0,0,0.9381356965067447,0,0,1.9936196886805209,0,0,0,0,0,0,0.24010797442885545,0,0
covid_hosp/train/0/15c50f7a-a638-4665-9101-cc2ffdc39a43.png_000,1,1.9135830846398503,0,1,0.5140482531164998,1,5,1.8456835241931202e-05,1,7,5,3,3,5,0.08125083641367226,1,5
covid_hosp/train/0/15c50f7a-a638-4665-9101-cc2ffdc39a43.png_001,0,0.0746693097472374,1,6,0.4542867559921082,0,2,1.9930609492103593,0,0,0,0,0,0,0.15931754939395504,0,2
covid_hosp/train/0/15c81382-6b4c-4e2e-ab79-db95f66de400.png_000,1,5.239402829848583e-05,1,7,0.35890147621673085,1,7,0.00014159343627007104,1,7,4,3,3,5,0.06641480977803038,1,7
covid_hosp/train/0/15c81382-6b4c-4e2e-ab79-db95f66de400.png_001,0,1.999194753004807,0,0,0.9166841389791147,0,0,1.9917390407664635,0,0,1,0,0,0,0.2179811365501947,0,0
covid_hosp/train/0/15c93233-9362-477c-8e4d-c25f2e651aa7.png_000,1,0.0013743731153913474,1,7,0.3560894702743761,1,7,0.002114653914966569,1,5,0,0,2,3,0.1275570565013333,1,7
covid_hosp/train/0/15c93233-9362-477c-8e4d-c25f2e651aa7.png_001,0,1.9966126762052325,0,0,0.629979944912348,0,0,1.984404072390317,0,2,5,3,1,2,0.21821451742913767,0,0
covid_hosp/train/0/15c968aa-c279-4e68-aa0e-a0ea85b06053.png_000,1,0.007207632310754275,0,5,0.30682203643617245,1,7,0.00020149262587942918,1,6,5,3,3,5,0.09340548814315497,1,7
covid_hosp/train/0/15c968aa-c279-4e68-aa0e-a0ea85b06053.png_001,0,1.9959312405370326,1,2,1.0342757710711104,0,0,1.9913173839250682,0,1,0,0,0,0,0.17932402762781585,0,0
covid_hosp/train/0/15caed66-ea48-488f-8c54-4f6debd7645d.png_000,1,0.0002759229980241473,1,7,0.19846200757160304,1,7,4.904754269530187e-05,1,6,5,3,3,5,0.048004659409954575,1,7
covid_hosp/train/0/15caed66-ea48-488f-8c54-4f6debd7645d.png_001,0,1.9985751485976653,0,0,0.8597261363085924,0,0,1.9926034176875884,0,1,0,0,0,0,0.2540541824987912,0,0
covid_hosp/train/0/15cdf6d4-2978-4b2c-8b9a-0f3213370294.png_000,1,0.9958317429982155,0,1,0.4015854924859722,1,6,2.24965436934621e-05,1,7,5,3,3,5,0.08442195836688637,1,7
covid_hosp/train/0/15cdf6d4-2978-4b2c-8b9a-0f3213370294.png_001,0,1.0340586864576755,1,6,0.5144860835963113,0,1,1.9944831040566595,0,0,0,0,0,0,0.16481254507204113,0,0
covid_hosp/train/0/15d957da-6c21-4f18-a8e7-a26fe4d29f58.png_000,1,0.0003487681042927404,1,7,0.19230524014394756,1,6,0.0006153564876648643,1,5,5,3,3,5,0.05891580514213346,1,7
covid_hosp/train/0/15d957da-6c21-4f18-a8e7-a26fe4d29f58.png_001,0,1.9984150848936586,0,0,0.7608686240517681,0,1,1.9970588784458552,0,2,0,0,0,0,0.19858639451914628,0,0
covid_hosp/train/0/15da61c5-38ac-4490-a468-91e67f295825.png_000,1,0.0004136933455489711,1,7,0.08458243917977137,1,7,3.0765309321223455e-05,1,7,5,3,3,5,0.042308583235667774,1,7
covid_hosp/train/0/15da61c5-38ac-4490-a468-91e67f295825.png_001,0,1.9982798590467215,0,0,0.9068064903049163,0,0,1.9946016733853944,0,0,0,0,0,0,0.19865907820163842,0,0
covid_hosp/train/0/15dc3b2e-b1c7-4251-b5f9-4b24e4e20294.png_000,1,0.0009965652329045893,1,7,0.16025575689999272,1,7,0.0002694588077505333,1,7,5,3,3,5,0.07665500362610023,1,7
covid_hosp/train/0/15dc3b2e-b1c7-4251-b5f9-4b24e4e20294.png_001,0,1.9998912031296,0,0,0.8460036506556828,0,0,1.9960791095121215,0,0,0,0,0,0,0.21320162622149308,0,0
covid_hosp/train/0/15e6c264-0f5d-4659-805f-fddff71b48da.png_000,1,0.00029369716214322494,1,7,0.18283546917637217,1,7,3.829634298702089e-05,1,6,5,3,3,5,0.08042889906361106,1,7
covid_hosp/train/0/15e6c264-0f5d-4659-805f-fddff71b48da.png_001,0,1.9999839811504212,0,0,1.0005300468131717,0,0,1.9927426844073381,0,1,0,0,0,0,0.22123625683246895,0,0
covid_hosp/train/0/15e8d510-5e1a-43f9-9d1a-16a1bd6728ab.png_000,1,0.003251887491679706,1,7,0.18067640882447256,1,7,6.46713285811229e-05,1,7,5,3,3,5,0.05846100148929423,1,7
covid_hosp/train/0/15e8d510-5e1a-43f9-9d1a-16a1bd6728ab.png_001,0,1.993893929874056,0,0,0.7881789744138334,0,0,1.994961650372336,0,0,0,0,0,0,0.1848466639545998,0,0
covid_hosp/train/0/15e98e98-57f1-4641-8c33-de67995cf441.png_000,1,0.0008250156294635769,1,6,0.15601788253561732,1,7,1.9012613713398352e-06,1,7,5,3,3,5,0.05211936425304442,1,7
covid_hosp/train/0/15e98e98-57f1-4641-8c33-de67995cf441.png_001,0,1.999942473103261,0,1,0.953152717327987,0,0,1.9939727831883132,0,0,0,0,0,0,0.20365007260869727,0,0
covid_hosp/train/0/15f173c9-43b4-43b7-9dde-ff87543b959f.png_000,1,1.280455948193815e-05,1,5,0.24225816311763948,1,7,6.199144088225861e-05,1,7,5,3,3,5,0.0903506174784523,1,7
covid_hosp/train/0/15f173c9-43b4-43b7-9dde-ff87543b959f.png_001,0,1.9993890468532394,0,2,0.8191621046109532,0,0,1.992453283404936,0,0,0,0,0,0,0.18524224864090022,0,0
covid_hosp/train/0/15f9590e-9e75-4c47-8070-a741a3fe2297.png_000,1,2.0272724763348293e-06,1,7,0.09526779315540801,1,7,6.645489357548495e-05,1,6,4,2,2,4,0.03693952493852215,1,7
covid_hosp/train/0/15f9590e-9e75-4c47-8070-a741a3fe2297.png_001,0,1.9996112827682704,0,0,0.9142921515923293,0,0,1.994977254408729,0,1,1,1,1,1,0.2293069070863455,0,0
covid_hosp/train/0/15fa29d8-09cf-436e-8bf8-cd85b260f2cc.png_000,1,0.004114742292567808,1,6,0.3474598985573245,1,7,3.928060669700084e-05,1,6,5,3,3,5,0.0644729835956811,1,7
covid_hosp/train/0/15fa29d8-09cf-436e-8bf8-cd85b260f2cc.png_001,0,1.99273125742392,0,1,0.6490151271354686,0,0,1.9947069300872433,0,1,0,0,0,0,0.26805320992784143,0,0
covid_hosp/train/0/15fb2749-8cc5-4bdc-b0f4-fca4e2443aa9.png_000,1,0.00615227649595862,1,5,0.34792929950225315,1,6,6.574772280498742e-06,1,6,5,3,3,5,0.1217223860118527,1,7
covid_hosp/train/0/15fb2749-8cc5-4bdc-b0f4-fca4e2443aa9.png_001,0,1.996714344628299,0,2,0.7276111895289933,0,1,1.9941551465300749,0,1,0,0,0,0,0.17997687917367633,0,0
covid_hosp/train/0/15ff926e-919d-461d-8c5b-963eefa253bc.png_000,1,1.374460126002397e-05,1,6,0.3366521431163638,1,7,0.002540115952039068,0,1,5,3,3,5,0.15244806657000198,1,5
covid_hosp/train/0/15ff926e-919d-461d-8c5b-963eefa253bc.png_001,0,1.999696105909297,0,1,0.783605258173415,0,0,1.999179700829503,1,6,0,0,0,0,0.15504360119591187,0,2
covid_hosp/train/0/1600da0c-21f7-41a9-92d8-1d138a70bfac.png_000,1,0.0005549357354280859,1,7,0.19057924903702417,1,7,3.745510846864253e-05,1,7,5,3,3,5,0.03980635256296927,1,7
covid_hosp/train/0/1600da0c-21f7-41a9-92d8-1d138a70bfac.png_001,0,1.9980027058447822,0,0,0.8431365687721597,0,0,1.9927543035137596,0,0,0,0,0,0,0.23328488285261384,0,0
covid_hosp/train/0/160ad42c-c2a4-408f-85fd-f22f5d166856.png_000,1,0.0010965966334065547,1,7,0.23506801970105862,1,7,3.9723038998018545e-05,1,7,2,1,1,3,0.04387828357048662,1,7
covid_hosp/train/0/160ad42c-c2a4-408f-85fd-f22f5d166856.png_001,0,1.9998565416769312,0,0,0.8312055529363944,0,0,1.9927232462247604,0,0,3,2,2,2,0.22932145430593653,0,0
covid_hosp/train/0/160be734-72c5-4f7b-a02f-5425c65bb084.png_000,1,0.0001800076703402098,1,6,0.3531379331395311,1,7,1.1536229462816294e-05,1,5,5,3,3,5,0.10325006247190505,1,7
covid_hosp/train/0/160be734-72c5-4f7b-a02f-5425c65bb084.png_001,0,1.9988060327386359,0,1,0.8500392723376275,0,0,1.9942815440884685,0,2,0,0,0,0,0.2040437204152038,0,0
covid_hosp/train/0/16164a04-5f08-4637-8226-e34d2fbdd762.png_000,1,0.0015637080737903597,1,7,0.1836462577775304,1,7,0.0002272795704872932,1,6,5,3,3,5,0.04512197804159834,1,7
covid_hosp/train/0/16164a04-5f08-4637-8226-e34d2fbdd762.png_001,0,1.9963190718530077,0,0,0.916919472122476,0,0,1.9959097372756505,0,1,0,0,0,0,0.23099656943428182,0,0
covid_hosp/train/0/16198f03-b89b-470f-bed8-4b89d6dd69f5.png_000,1,0.0005647666917872884,1,6,0.19687493549869672,1,6,1.2624038345787625e-06,1,6,2,2,2,3,0.07682454223965429,1,5
covid_hosp/train/0/16198f03-b89b-470f-bed8-4b89d6dd69f5.png_001,0,1.9979841006016246,0,1,0.7752459433124786,0,1,1.9935785924181286,0,1,3,1,1,2,0.14935516780142266,0,2
covid_hosp/train/0/161d6c37-0efa-452d-8eb5-f2760016d333.png_000,1,0.0024850652836481135,1,6,0.3039493579349981,1,7,3.879938526307747e-05,1,6,5,3,3,5,0.05655270706633364,1,7
covid_hosp/train/0/161d6c37-0efa-452d-8eb5-f2760016d333.png_001,0,1.9991752529899438,0,1,0.7109850993024467,0,0,1.9947013326502456,0,1,0,0,0,0,0.24384914051991302,0,0
covid_hosp/train/0/1622a51d-3ae2-466c-a5c8-304862f69eff.png_000,1,0.0009398811055164602,1,6,0.1923786001609462,1,7,0.001013128165488486,1,7,5,3,3,5,0.05319417097134682,1,7
covid_hosp/train/0/1622a51d-3ae2-466c-a5c8-304862f69eff.png_001,0,1.997317933102254,0,1,0.770469538923675,0,0,1.9977710341354393,0,0,0,0,0,0,0.19425886496432276,0,0
covid_hosp/train/0/16295f19-6f89-4bdf-bfc5-0457e4b4bb89.png_000,1,0.001833967964635752,0,3,0.27207671104888653,1,7,0.0011998522664212752,1,5,5,3,3,5,0.07384105008428743,1,7
covid_hosp/train/0/16295f19-6f89-4bdf-bfc5-0457e4b4bb89.png_001,0,1.999529536348742,1,4,0.8696487148891529,0,0,1.9871011796255185,0,2,0,0,0,0,0.19507648918587717,0,0
covid_hosp/train/0/162b39c5-d524-4661-b29b-8db9336dff13.png_000,1,1.8011331074374581e-06,1,7,0.13660759776682763,1,7,8.516825238225056e-05,1,6,5,3,3,5,0.05582490980927857,1,7
covid_hosp/train/0/162b39c5-d524-4661-b29b-8db9336dff13.png_001,0,1.9996080524444753,0,0,0.8852639128833986,0,0,1.9922164436238434,0,1,0,0,0,0,0.2061945742133151,0,0
covid_hosp/train/0/163207fb-ef50-49f9-a00a-9f849cdd05e3.png_000,1,0.0001409147773322461,1,6,0.24996182928924326,1,6,8.160794719092035e-05,1,6,5,3,3,5,0.057687208046341976,1,7
covid_hosp/train/0/163207fb-ef50-49f9-a00a-9f849cdd05e3.png_001,0,1.9989104541120506,0,1,0.6800057631911994,0,1,1.995101304082998,0,1,0,0,0,0,0.16146333719645023,0,0
covid_hosp/train/0/163956ec-35f4-4df2-a3e4-0f9d8eab4066.png_000,1,0.0001211880483331651,1,6,0.1698004976324441,1,7,1.729981234233069e-05,1,6,5,3,3,5,0.05754962308461664,1,7
covid_hosp/train/0/163956ec-35f4-4df2-a3e4-0f9d8eab4066.png_001,0,1.9989666178463488,0,1,0.7439539682794839,0,0,1.993083688541673,0,1,0,0,0,0,0.26029045469131873,0,0
covid_hosp/train/0/163aa468-b519-4109-85ac-58b46a5b8bf7.png_000,1,0.005902982294504033,0,4,0.3617149880290076,1,6,6.945553333337351e-05,1,7,5,3,3,5,0.06430398244812263,1,7
covid_hosp/train/0/163aa468-b519-4109-85ac-58b46a5b8bf7.png_001,0,1.990409587335824,1,3,0.5458695378277062,0,1,1.9923732077837908,0,0,0,0,0,0,0.2658472978028219,0,0
covid_hosp/train/0/163b3240-2726-45f0-9054-9119bab7fd88.png_000,1,0.002566824191541417,1,7,0.43457314108081113,1,7,7.04346195963268e-05,1,7,4,2,3,5,0.12501214261486449,1,7
covid_hosp/train/0/163b3240-2726-45f0-9054-9119bab7fd88.png_001,0,1.99912785173783,0,0,0.9162458822837554,0,0,1.9923629998315022,0,0,1,1,0,0,0.20670911583165463,0,0
covid_hosp/train/0/1643d9ee-7f12-4a05-9328-f7d775f6cd2c.png_000,1,0.0004990499448895847,1,7,0.5304302144348879,1,7,0.07396490049094884,0,1,2,1,1,2,0.20027668832364498,1,4
covid_hosp/train/0/1643d9ee-7f12-4a05-9328-f7d775f6cd2c.png_001,0,1.9981100217337366,0,0,0.8887426678737425,0,0,1.8781451062990928,1,6,3,2,2,3,0.16162412497829415,0,3
covid_hosp/train/0/16440036-5704-4096-acc1-7ea237d0fefc.png_000,1,9.322243378029338e-05,1,7,0.2869565899125841,1,7,0.0003834987623108077,1,6,5,3,3,5,0.09856839680032581,1,7
covid_hosp/train/0/16440036-5704-4096-acc1-7ea237d0fefc.png_001,0,1.9998680948319176,0,0,0.8836291691711838,0,0,1.9964654851722274,0,1,0,0,0,0,0.2312507396955782,0,0
covid_hosp/train/0/16637461-2175-426c-a0fd-e6bf3c6dbe95.png_000,1,3.7855698908906277e-07,1,7,0.16737234909620025,1,7,0.0007059461993602634,1,5,5,3,3,5,0.09516333287203937,1,7
covid_hosp/train/0/16637461-2175-426c-a0fd-e6bf3c6dbe95.png_001,0,1.999578749625482,0,0,0.97178267458353,0,0,1.9972469196211278,0,2,0,0,0,0,0.22577965596650196,0,0
covid_hosp/train/0/16654928-ac45-4cea-bb79-e97b9b02d012.png_000,1,7.862222741883418e-05,1,7,0.30064706345926395,1,5,0.0006674796943172412,0,6,5,3,3,5,0.07517426235394686,1,7
covid_hosp/train/0/16654928-ac45-4cea-bb79-e97b9b02d012.png_001,0,1.9998493674434328,0,0,0.6908416372835944,0,2,1.9971693942267843,1,1,0,0,0,0,0.16177482888426098,0,0
covid_hosp/train/0/1668be84-8c1e-4f22-9a54-b88d285043dc.png_000,1,0.003205705164579964,1,7,0.30265694283543154,1,7,2.8079770361566503e-05,1,7,5,3,3,5,0.07948363980033113,1,7
covid_hosp/train/0/1668be84-8c1e-4f22-9a54-b88d285043dc.png_001,0,1.9987404611901267,0,0,0.838340114302726,0,0,1.9945652752926217,0,0,0,0,0,0,0.23635327264387773,0,0
covid_hosp/train/0/167c8c5b-551b-4c01-b208-0d8d7f35a6a4.png_000,1,0.004709907372788202,1,7,0.45369146021365236,1,6,0.0003579171132058745,0,5,5,3,3,5,0.09984857931597302,0,4
covid_hosp/train/0/167c8c5b-551b-4c01-b208-0d8d7f35a6a4.png_001,0,1.9919474899360239,0,0,0.6836222658551853,0,1,1.9963861049841114,1,2,0,0,0,0,0.14088908475859885,1,3
covid_hosp/train/0/168563e7-4335-4c3f-9593-235df8fcd765.png_000,1,0.0010308208645638528,1,6,0.20657959989668395,1,7,0.0004265770404408009,1,5,5,3,3,5,0.06768762602334355,1,7
covid_hosp/train/0/168563e7-4335-4c3f-9593-235df8fcd765.png_001,0,1.9998796882241023,0,1,0.9584037627044141,0,0,1.9900748687091525,0,2,0,0,0,0,0.18945179872562445,0,0
covid_hosp/train/0/168ae18f-d50a-4df3-9f21-5eedb100fcc0.png_000,1,0.0014277061689007553,1,7,0.11470257950547524,1,7,0.00014414037698684545,1,7,5,3,3,5,0.04850005920553291,1,7
covid_hosp/train/0/168ae18f-d50a-4df3-9f21-5eedb100fcc0.png_001,0,1.9997228195794943,0,0,0.8495975192031686,0,0,1.9917197014018813,0,0,0,0,0,0,0.22725936309312378,0,0
covid_hosp/train/0/169a956e-6c32-493e-ad41-31639b9d7ef4.png_000,1,0.00015352156692349794,1,7,0.23096857986741126,1,7,0.0012572881379284695,1,5,5,3,3,5,0.10758494926497764,1,5
covid_hosp/train/0/169a956e-6c32-493e-ad41-31639b9d7ef4.png_001,0,1.9999234413687121,0,0,0.8533097429363712,0,0,1.9981004189400071,0,2,0,0,0,0,0.16533074583458762,0,2
covid_hosp/train/0/169d225c-4691-4897-a382-8aac28b0c348.png_000,1,0.001485881389683974,1,7,0.21397502854393058,1,7,0.0007201116689543596,1,6,5,3,3,5,0.056652179452524765,1,7
covid_hosp/train/0/169d225c-4691-4897-a382-8aac28b0c348.png_001,0,1.996438946995804,0,0,0.7180521852694547,0,0,1.9888083374278196,0,1,0,0,0,0,0.21051341913147437,0,0
covid_hosp/train/0/16b2f378-a695-44d4-b136-305a7b17155f.png_000,1,7.199616265141096e-05,1,7,0.12420997815762336,1,7,6.238457847296264e-05,1,7,5,3,3,5,0.047051866539035814,1,7
covid_hosp/train/0/16b2f378-a695-44d4-b136-305a7b17155f.png_001,0,1.999122459224158,0,0,0.9167937929910785,0,0,1.99244896007297,0,0,0,0,0,0,0.25616996023955074,0,0
covid_hosp/train/0/16b3b4a2-5039-4977-ba35-73bf84fcc565.png_000,1,0.0008341426360348736,1,7,0.1667893430088221,1,7,1.1508459051845499e-05,1,5,5,3,3,5,0.04701759318546872,1,7
covid_hosp/train/0/16b3b4a2-5039-4977-ba35-73bf84fcc565.png_001,0,1.997498651826445,0,0,0.9371179675475232,0,0,1.9942809262961088,0,2,0,0,0,0,0.22173223959822186,0,0
covid_hosp/train/0/16b81782-5c25-4dd2-89f5-8008aec5259e.png_000,1,7.537923343914343e-05,1,7,0.20916907554470832,1,7,8.543422094153819e-05,0,6,5,3,3,5,0.044055939189067916,1,7
covid_hosp/train/0/16b81782-5c25-4dd2-89f5-8008aec5259e.png_001,0,1.9991107472586795,0,0,0.7393725794438661,0,0,1.9922139076804053,1,1,0,0,0,0,0.175250123997308,0,0
covid_hosp/train/0/16c2d839-2259-400b-b6f2-0719ea2f3dff.png_000,1,0.0022601387840895937,1,7,0.2658083583578914,1,7,0.002978451053978315,0,3,2,1,2,4,0.12371432629204537,1,7
covid_hosp/train/0/16c2d839-2259-400b-b6f2-0719ea2f3dff.png_001,0,1.9993026193663432,0,0,0.8308257576696794,0,0,1.98219296924013,1,4,3,2,1,1,0.22716558555947275,0,0
covid_hosp/train/0/16c5c9f0-e503-46b9-8f1c-1e752c24370e.png_000,1,0.0004515040850084917,1,7,0.177472005221327,1,7,6.082105465199383e-05,1,6,5,3,3,5,0.04707863140132584,1,7
covid_hosp/train/0/16c5c9f0-e503-46b9-8f1c-1e752c24370e.png_001,0,1.9982036428997723,0,0,0.9308204729494816,0,0,1.9924662285512298,0,1,0,0,0,0,0.22913728761120733,0,0
covid_hosp/train/0/16c68f73-6276-44e1-a40a-b15a0b807924.png_000,1,0.0005885674063321744,1,6,0.15601762260990126,1,7,0.00037268386467403936,1,6,5,3,3,5,0.05202453416532249,1,7
covid_hosp/train/0/16c68f73-6276-44e1-a40a-b15a0b807924.png_001,0,1.9999902579830202,0,1,0.9419559297595347,0,0,1.9964323667980153,0,1,0,0,0,0,0.2123020437216533,0,0
covid_hosp/train/0/16d4d825-3334-424d-9bfe-0e6fb28c678a.png_000,1,0.00023492621515563972,1,7,0.2461607390850158,1,7,3.665745177738877e-06,1,6,5,3,3,5,0.08164017200839291,1,7
covid_hosp/train/0/16d4d825-3334-424d-9bfe-0e6fb28c678a.png_001,0,1.9999662118685444,0,0,0.8449481898376827,0,0,1.9934513954385966,0,1,0,0,0,0,0.2203429010717708,0,0
covid_hosp/train/0/16d8068a-6218-4490-af47-e9ad1c67f007.png_000,1,0.0002926585596224607,1,7,0.1927641414875093,1,7,4.0182188087989346e-06,1,7,5,3,3,5,0.052237225324823666,1,7
covid_hosp/train/0/16d8068a-6218-4490-af47-e9ad1c67f007.png_001,0,1.9999837374410754,0,0,0.7985490752997508,0,0,1.9934368553854482,0,0,0,0,0,0,0.2121567950141745,0,0
covid_hosp/train/0/16dd5796-1dd9-466b-ab05-e50ae5fafe39.png_000,1,0.006347529093389426,1,5,0.3290549042533286,1,7,0.00030353078898948116,1,7,5,3,3,5,0.08277764567688284,1,7
covid_hosp/train/0/16dd5796-1dd9-466b-ab05-e50ae5fafe39.png_001,0,1.9965711403854414,0,2,0.9096775987668102,0,0,1.9962040871996916,0,0,0,0,0,0,0.1834525060250446,0,0
covid_hosp/train/0/16e739a9-214a-45d1-a2d8-b7b19a167dad.png_000,1,0.0003435956824745512,1,7,0.17090503102131405,1,7,2.1293929549304202e-05,1,7,5,3,3,5,0.05030318979328019,1,7
covid_hosp/train/0/16e739a9-214a-45d1-a2d8-b7b19a167dad.png_001,0,1.9984261296270436,0,0,0.8751870119190523,0,0,1.9930078955403436,0,0,0,0,0,0,0.2442852655514749,0,0
covid_hosp/train/0/16edb34f-c48e-44bf-81a6-4d1155c213cb.png_000,1,0.0007317506945174745,1,7,0.2991236118073448,1,7,0.030796328059304767,0,1,3,2,2,4,0.1507299573616785,0,6
covid_hosp/train/0/16edb34f-c48e-44bf-81a6-4d1155c213cb.png_001,0,1.9976783417586583,0,0,0.9236481633181588,0,0,1.9356789539089179,1,6,2,1,1,1,0.13673687083377317,1,1
covid_hosp/train/0/16f5be73-4905-4c43-aab6-83903ff468f3.png_000,1,0.1374847087983595,0,3,0.34308048430224647,1,5,4.4094117780058006e-05,1,7,3,2,3,5,0.12068457034719615,1,6
covid_hosp/train/0/16f5be73-4905-4c43-aab6-83903ff468f3.png_001,0,1.8470032905934815,1,4,0.5566209795331121,0,2,1.9926656198917128,0,0,2,1,0,0,0.12208322600573718,0,1
covid_hosp/train/0/17042665-a8a3-4538-a665-39126634f3dc.png_000,1,0.0014509874443247028,1,7,0.25255497553749306,1,7,4.8602348451831645e-05,1,6,4,3,3,5,0.05353024990437638,1,7
covid_hosp/train/0/17042665-a8a3-4538-a665-39126634f3dc.png_001,0,1.9964930518266846,0,0,0.6280444726737716,0,0,1.9948087558939218,0,1,1,0,0,0,0.14044138856617883,0,0
covid_hosp/train/0/170a883f-c2ec-489e-8718-729060379eef.png_000,1,0.0002773416138571738,1,7,0.12166079144208952,1,7,7.469438595197886e-05,1,5,5,3,3,5,0.03929761406309773,1,7
covid_hosp/train/0/170a883f-c2ec-489e-8718-729060379eef.png_001,0,1.9985719281310934,0,0,0.931175800930828,0,0,1.9950464683203637,0,2,0,0,0,0,0.21556124876783556,0,0
